94925,$2258,/ 1br - 
94572,$1500,/ 2br - 
94536,$1945,/ 1br - 
94588,$2608,/ 2br - 933ft
94104,$1700, 
94104,$1700, 
94105,$2750,/ 437ft
94105,$3900,/ 1br - 1053ft
94103,$3795,/ 1br - 
94103,$3795,/ 1br - 
94304,$3695,/ 2br - 
95134,$2505,/ 1br - 759ft
94954,$1931,/ 2br - 794ft
95128,$3390,/ 3br - 1566ft
94546,$2260,/ 3br - 1430ft
94954,$2600,/ 4br - 1505ft
94954,$2600,/ 4br - 1505ft
94954,$2600,/ 4br - 1505ft
94901,$2895,/ 3br - 1400ft
94901,$2895,/ 3br - 1400ft
94127,$1950,/ 1br - 500ft
94127,$1950,/ 1br - 500ft
94122,$3845,/ 1br - 854ft
94086,$1050,/ 2br - 930ft
94595,$3000,/ 2br - 1300ft
94086,$4190,/ 2br - 1240ft
94596,$2595,/ 2br - 970ft
94103,$4800,/ 2br - 
94103,$4800,/ 2br - 
94103,$4800,/ 2br - 
94610,$2885,/ 4br - 2000ft
94109,$2400,/ 1br - 
94105,$3395, 
94122,$3675,/ 1br - 840ft
94086,$2305,/ 1br - 715ft
94403,$4980,/ 4br - 2020ft
95050,$2708,/ 2br - 925ft
95050,$2708,/ 2br - 925ft
95409,$2633,/ 2br - 1042ft
95050,$2689,/ 2br - 925ft
94087,$2704,/ 1br - 790ft
94087,$2744,/ 1br - 790ft
94087,$2744,/ 1br - 790ft
95453,$1500,/ 3br - 1400ft
94542,$2224,/ 2br - 976ft
95014,$4226,/ 3br - 1508ft
95003,$3600,/ 3br - 1500ft
94596,$1737,/ 505ft
95148,$2998,/ 3br - 1232ft
94044,$2274,/ 1br - 
94044,$2274,/ 1br - 
94596,$1844,/ 505ft
94544,$2235,/ 1br - 985ft
94550,$2770,/ 3br - 996ft
94580,$1895,/ 1br - 950ft
94022,$6900,/ 3br - 2277ft
94022,$6900,/ 3br - 2277ft
94105,$4000,/ 550ft
94534,$1504,/ 1br - 
94534,$1504,/ 1br - 
95403,$2079,/ 2br - 921ft
94538,$3499,/ 3br - 1935ft
95131,$2973,/ 2br - 1137ft
94040,$2346,/ 612ft
95051,$3018,/ 2br - 1020ft
94536,$2450,/ 2br - 850ft
95037,$3800,/ 5br - 2785ft
94608,$3586,/ 3br - 1204ft
94109,$5000,/ 2br - 
94086,$2795,/ 1br - 702ft
94551,$2000,/ 2br - 829ft
94122,$4150,/ 2br - 882ft
94102,$2100, 
95687,$1325,/ 1br - 642ft
95014,$2595,/ 1br - 770ft
95409,$2037,/ 1br - 630ft
94901,$2076, 
94404,$3318,/ 2br - 963ft
94109,$4394,/ 1br - 
94109,$4394,/ 1br - 
94598,$3350,/ 3br - 1508ft
94607,$1595,/ 1br - 
94065,$3279,/ 2br - 1000ft
94041,$2531,/ 1br - 670ft
94122,$5000,/ 2br - 1050ft
94587,$2598, 
95060,$2250,/ 2br - 
95060,$2250,/ 2br - 
94041,$2909,/ 2br - 935ft
94041,$2909,/ 2br - 935ft
95118,$2525,/ 3br - 1121ft
94041,$2984,/ 2br - 935ft
94086,$4265,/ 2br - 1004ft
94109,$2657,/ 408ft
94565,$1720,/ 2br - 881ft
94306,$7500,/ 4br - 2020ft
94306,$7500,/ 4br - 2020ft
94103,$3125,/ 1br - 600ft
94103,$3125,/ 1br - 600ft
94588,$2275,/ 1br - 731ft
94607,$3116,/ 1br - 714ft
94588,$2568,/ 1br - 731ft
94530,$3000,/ 2br - 1200ft
94086,$2255,/ 1br - 717ft
95054,$3690,/ 2br - 1195ft
94306,$6765,/ 2br - 1292ft
94306,$6765,/ 2br - 1292ft
95054,$3691,/ 2br - 1216ft
95014,$3905,/ 3br - 1387ft
94104,$3052,/ 475ft
94104,$3052,/ 475ft
94109,$4395,/ 2br - 1000ft
94103,$4745,/ 1br - 800ft
94587,$2248,/ 1br - 603ft
95006,$1750,/ 1br - 
95006,$1750,/ 1br - 
95120,$3800,/ 4br - 2100ft
95062,$2850,/ 3br - 1250ft
95062,$1050, 
94563,$5700,/ 3br - 2200ft
94563,$5700,/ 3br - 2200ft
95407,$1705,/ 1br - 559ft
95687,$1543,/ 2br - 986ft
94565,$1461,/ 2br - 986ft
94086,$2850,/ 2br - 920ft
94086,$2850,/ 2br - 920ft
94107,$2480,/ 233ft
95134,$2186,/ 565ft
94538,$2284,/ 1br - 829ft
95126,$2588,/ 1br - 861ft
95126,$2588,/ 1br - 861ft
95014,$3607,/ 2br - 1112ft
94134,$2095,/ 1br - 
92115,$1425,/ 2br - 960ft
94596,$2565,/ 1br - 766ft
94596,$2565,/ 1br - 766ft
94109,$3300, 
94109,$3300, 
94104,$2948,/ 475ft
94104,$2948,/ 475ft
94124,$3150,/ 2br - 1017ft
94587,$1814,/ 510ft
94025,$3895,/ 2br - 1128ft
94928,$2790,/ 3br - 1454ft
